Source,Target,Weight
ASV_230112,ASV_35610,-0.964336463
ASV_151663,ASV_35610,-0.698389376
ASV_118514,ASV_35610,-0.461074122
ASV_80122,ASV_34796,-0.516223269
ASV_6307,ASV_34796,-0.842969439
ASV_75478,ASV_34645,-0.655329156
ASV_229559,ASV_34645,-0.848308432
ASV_22707,ASV_34645,-0.838048526
ASV_64991,ASV_34534,-0.883553916
ASV_232519,ASV_34534,-0.918443673
ASV_205264,ASV_34534,-0.872758089
ASV_170913,ASV_33592,-0.778346047
ASV_61422,ASV_33369,-0.754239336
ASV_202127,ASV_33369,-0.507399248
ASV_181331,ASV_33369,-0.352036529
ASV_134680,ASV_33369,-0.926910684
ASV_30113,ASV_33160,-0.836610945
ASV_2037,ASV_33160,-0.815019373
ASV_2037,ASV_33050,-0.908838297
ASV_134709,ASV_33050,-0.604842441
ASV_233136,ASV_32932,-0.915956754
ASV_53978,ASV_32853,-0.795080075
ASV_233692,ASV_32853,-0.963991919
ASV_118634,ASV_32853,-0.62329752
ASV_77301,ASV_32815,-0.65983648
ASV_251811,ASV_32788,-0.450054573
ASV_227839,ASV_32788,-0.838215378
ASV_206167,ASV_32596,-0.549196218
ASV_202946,ASV_32308,-0.871058815
ASV_81114,ASV_32232,-0.663546131
ASV_11103,ASV_32232,-0.89998829
ASV_54668,ASV_31734,-0.47617042
ASV_238401,ASV_31734,-0.279000456
ASV_13023,ASV_31734,-0.211592977
ASV_129285,ASV_31632,-0.8969855
ASV_45614,ASV_30695,-0.786365847
ASV_26323,ASV_30695,-0.005468245
ASV_240097,ASV_30695,-0.935276869
ASV_211836,ASV_30695,-0.718535276
ASV_203890,ASV_30695,-0.961042326
ASV_133617,ASV_30695,-0.838338884
ASV_11545,ASV_30695,-0.872436968
ASV_199086,ASV_2908,-0.854217814
ASV_235406,ASV_29038,-0.954872667
ASV_149877,ASV_29038,-0.42997299
ASV_167553,ASV_2876,-0.878572637
ASV_193579,ASV_28053,-0.949350864
ASV_6596,ASV_27984,-0.801004258
ASV_214026,ASV_26664,-0.941685002
ASV_41112,ASV_26323,-0.774134278
ASV_251811,ASV_26323,-0.541503752
ASV_222924,ASV_25987,-0.9222745
ASV_197728,ASV_25946,-0.913009797
ASV_50189,ASV_25769,-0.846268324
ASV_28912,ASV_25769,-0.9357655
ASV_236812,ASV_25769,-0.220592441
ASV_112247,ASV_25769,-0.887809922
ASV_54668,ASV_25639,-0.864290783
ASV_150109,ASV_25639,-0.911592162
ASV_143551,ASV_25549,-0.134325933
ASV_61422,ASV_25493,-0.924666398
ASV_32932,ASV_25493,-0.887463
ASV_25946,ASV_25493,-0.8796095
ASV_180438,ASV_252279,-0.70764413
ASV_54496,ASV_25160,-0.921295182
ASV_60973,ASV_251585,-0.936926342
ASV_210547,ASV_251585,-0.584864279
ASV_199464,ASV_251585,-0.831551741
ASV_178271,ASV_251585,-0.963677109
ASV_167553,ASV_251585,-0.982613341
ASV_97579,ASV_250473,-0.718612645
ASV_134812,ASV_250473,-0.860687181
ASV_79623,ASV_248933,-0.922574539
ASV_44329,ASV_248933,-0.806004316
ASV_26323,ASV_248933,-0.913051037
ASV_240097,ASV_248933,-0.899972543
ASV_22847,ASV_248933,-0.772513555
ASV_194843,ASV_248933,-0.930589074
ASV_101652,ASV_248933,-0.874995617
ASV_99978,ASV_247206,-0.810599412
ASV_112247,ASV_247206,-0.798444796
ASV_39728,ASV_246884,-0.081280407
ASV_142924,ASV_246884,-0.759532277
ASV_11103,ASV_246884,-0.914888687
ASV_93649,ASV_246001,-0.59161592
ASV_66374,ASV_246001,-0.957858563
ASV_12715,ASV_246001,-0.674972197
ASV_126082,ASV_246001,-0.926052453
ASV_10470,ASV_246001,-0.868965091
ASV_26323,ASV_244883,-0.942215174
ASV_170621,ASV_244883,-0.876767
ASV_8848,ASV_242302,-0.950615988
ASV_6770,ASV_242302,-0.838401768
ASV_22894,ASV_242302,-0.870435664
ASV_108744,ASV_242302,-0.911530504
ASV_9294,ASV_24185,-0.867942599
ASV_41858,ASV_24185,-0.801329032
ASV_143855,ASV_24185,-0.452646507
ASV_133259,ASV_24185,-0.920917202
ASV_109497,ASV_24185,-0.950137371
ASV_189759,ASV_241389,-0.811891424
ASV_112967,ASV_241389,-0.492977768
ASV_225252,ASV_241078,-0.896158427
ASV_193579,ASV_241078,-0.188740961
ASV_7432,ASV_240270,-0.803396659
ASV_41112,ASV_240097,-0.932181534
ASV_251811,ASV_240097,-0.439100657
ASV_232519,ASV_240097,-0.916401502
ASV_157127,ASV_240097,-0.427425271
ASV_229885,ASV_239801,-0.885666721
ASV_251046,ASV_239562,-0.909449302
ASV_180382,ASV_239562,-0.882723892
ASV_174732,ASV_239562,-0.800676914
ASV_12441,ASV_239562,-0.8076122
ASV_53475,ASV_238496,-0.910090717
ASV_187146,ASV_238496,-0.904129872
ASV_54044,ASV_238487,-0.933414308
ASV_42809,ASV_238487,-0.886741
ASV_181331,ASV_238487,-0.911752219
ASV_177177,ASV_238487,-0.919961601
ASV_111388,ASV_238487,-0.484344868
ASV_58530,ASV_237118,-0.790294069
ASV_214896,ASV_237118,-0.769147898
ASV_211836,ASV_237118,-0.927444092
ASV_120,ASV_237118,-0.849315683
ASV_15999,ASV_232834,-0.854560229
ASV_158813,ASV_232834,-0.8777065
ASV_147508,ASV_23137,-0.8946465
ASV_127946,ASV_230921,-0.896993528
ASV_28053,ASV_230614,-0.942587327
ASV_187942,ASV_230614,-0.569703524
ASV_179425,ASV_230433,-0.766587839
ASV_118050,ASV_230433,-0.914251938
ASV_201227,ASV_229885,-0.888012
ASV_85414,ASV_229639,-0.824517592
ASV_33160,ASV_229607,-0.555022972
ASV_171394,ASV_229607,-0.896319266
ASV_161355,ASV_229607,-0.828365406
ASV_14131,ASV_229607,-0.849888768
ASV_133617,ASV_229607,-0.857069116
ASV_41112,ASV_22847,-0.9468935
ASV_154458,ASV_22847,-0.871142008
ASV_117829,ASV_22847,-0.001325879
ASV_114638,ASV_2271,-0.793781547
ASV_45614,ASV_227072,-0.928859403
ASV_211836,ASV_227072,-0.919850936
ASV_168515,ASV_227072,-0.972198949
ASV_199888,ASV_225942,-0.944548
ASV_186889,ASV_225942,-0.908
ASV_101652,ASV_225252,-0.878526382
ASV_201526,ASV_225181,-0.952675445
ASV_204980,ASV_224662,-0.861572639
ASV_201283,ASV_224662,-0.869500312
ASV_134709,ASV_224662,-0.97003435
ASV_86007,ASV_224638,-0.972717731
ASV_26664,ASV_224638,-0.684959301
ASV_149186,ASV_224638,-0.637818988
ASV_36702,ASV_224411,-0.168454091
ASV_27984,ASV_223720,-0.873315634
ASV_165092,ASV_223720,-0.791756574
ASV_148210,ASV_223720,-0.966798143
ASV_8101,ASV_223705,-0.894118017
ASV_54817,ASV_223705,-0.708531462
ASV_41656,ASV_223705,-0.826323796
ASV_161793,ASV_223705,-0.839145564
ASV_51728,ASV_222683,-0.706210082
ASV_49853,ASV_222502,-0.870777664
ASV_47217,ASV_222502,-0.091109217
ASV_190052,ASV_222502,-0.000280279
ASV_134680,ASV_222502,-0.737355394
ASV_80122,ASV_221714,-0.799497256
ASV_36702,ASV_221714,-0.969806739
ASV_25639,ASV_221714,-0.949530878
ASV_229521,ASV_221714,-0.375140307
ASV_142924,ASV_221714,-0.925170044
ASV_137991,ASV_221714,-0.929026641
ASV_138203,ASV_221358,-0.842098295
ASV_175842,ASV_220913,-0.819734616
ASV_2876,ASV_220190,-0.90909924
ASV_62396,ASV_219782,-0.774292215
ASV_38340,ASV_219782,-0.711535597
ASV_48123,ASV_218532,-0.57145144
ASV_36702,ASV_218532,-0.514132005
ASV_227839,ASV_218532,-0.958549402
ASV_213517,ASV_218532,-0.594068747
ASV_203094,ASV_218532,-0.884670796
ASV_182560,ASV_218532,-0.740441128
ASV_163361,ASV_218532,-0.292668667
ASV_154458,ASV_218532,-0.009846843
ASV_140121,ASV_218532,-0.512681905
ASV_137991,ASV_218532,-0.988330967
ASV_119411,ASV_218532,-0.836644116
ASV_117829,ASV_218532,-0.214207086
ASV_245242,ASV_218293,-0.911650716
ASV_238501,ASV_218293,-0.907777193
ASV_145787,ASV_218293,-0.92705018
ASV_13023,ASV_218293,-0.420101837
ASV_108833,ASV_218293,-0.705872066
ASV_63015,ASV_21829,-0.880733
ASV_248800,ASV_21829,-0.847805178
ASV_204980,ASV_217286,-0.860656978
ASV_112247,ASV_217286,-0.798268181
ASV_142924,ASV_216674,-0.876912374
ASV_127515,ASV_216674,-0.884846285
ASV_92371,ASV_215550,-0.94464813
ASV_64991,ASV_215550,-0.896761754
ASV_63015,ASV_215488,-0.859275416
ASV_30113,ASV_215488,-0.87212807
ASV_22707,ASV_215488,-0.885481147
ASV_151663,ASV_215488,-0.846540062
ASV_166823,ASV_215249,-0.624586502
ASV_156108,ASV_215249,-0.91796913
ASV_224222,ASV_21458,-0.922604
ASV_215249,ASV_214398,-0.912620847
ASV_110223,ASV_214398,-0.703800055
ASV_48123,ASV_210547,-0.2014651
ASV_36702,ASV_210547,-0.792346674
ASV_25639,ASV_210547,-0.859053401
ASV_203094,ASV_210547,-0.501557069
ASV_163361,ASV_210547,-0.219369148
ASV_154458,ASV_210547,-0.867582865
ASV_142924,ASV_210547,-0.266308342
ASV_137991,ASV_210547,-0.682758062
ASV_117829,ASV_210547,-0.361836761
ASV_11103,ASV_210547,-0.837741611
ASV_64213,ASV_210332,-0.862503452
ASV_199700,ASV_209917,-0.851807421
ASV_113256,ASV_209881,-0.9362815
ASV_225252,ASV_209141,-0.982056206
ASV_88743,ASV_207516,-0.873674289
ASV_5690,ASV_207516,-0.966558776
ASV_35675,ASV_207516,-0.940092548
ASV_190609,ASV_207516,-0.942168394
ASV_115282,ASV_207516,-0.9472681
ASV_52455,ASV_207364,-0.855921245
ASV_54668,ASV_206799,-0.852699238
ASV_215550,ASV_206799,-0.672703227
ASV_145751,ASV_206799,-0.885997
ASV_136795,ASV_206799,-0.882640472
ASV_80122,ASV_206717,-0.9713275
ASV_36702,ASV_206717,-0.236734616
ASV_182560,ASV_206717,-0.970335151
ASV_142924,ASV_206717,-0.950895211
ASV_127515,ASV_206717,-0.957630858
ASV_114788,ASV_206331,-0.869873527
ASV_89091,ASV_206167,-0.948917547
ASV_148210,ASV_206167,-0.938623362
ASV_230921,ASV_204980,-0.943733527
ASV_227072,ASV_203890,-0.517618833
ASV_2037,ASV_203890,-0.508084723
ASV_106022,ASV_2037,-0.900220014
ASV_85130,ASV_203424,-0.880960606
ASV_34796,ASV_203424,-0.962123507
ASV_185979,ASV_203424,-0.946973895
ASV_36702,ASV_20316,-0.632979256
ASV_142924,ASV_20316,-0.942598163
ASV_93757,ASV_202946,-0.812140735
ASV_202127,ASV_202946,-0.766949335
ASV_185170,ASV_202946,-0.14225406
ASV_111388,ASV_202946,-0.801525697
ASV_55923,ASV_202805,-0.877915
ASV_181116,ASV_201526,-0.040565983
ASV_74969,ASV_201283,-0.915562151
ASV_249227,ASV_201283,-0.967541526
ASV_230921,ASV_201283,-0.950369899
ASV_17313,ASV_201283,-0.970859012
ASV_251811,ASV_200748,-0.713042956
ASV_161138,ASV_200240,-0.710418033
ASV_134812,ASV_200240,-0.50564929
ASV_205264,ASV_200172,-0.764800923
ASV_42075,ASV_199885,-0.881929
ASV_210076,ASV_199700,-0.906747
ASV_182560,ASV_199700,-0.909220422
ASV_81114,ASV_199464,-0.912943065
ASV_51728,ASV_197597,-0.741908336
ASV_56651,ASV_197178,-0.892791864
ASV_43784,ASV_197178,-0.903548
ASV_41656,ASV_197178,-0.878176
ASV_34796,ASV_197178,-0.948044197
ASV_149848,ASV_197178,-0.927572054
ASV_138823,ASV_197178,-0.90739492
ASV_81114,ASV_196748,-0.782526988
ASV_79326,ASV_196640,-0.874707361
ASV_128841,ASV_196640,-0.836660275
ASV_101652,ASV_196640,-0.842154047
ASV_210547,ASV_196414,-0.154476669
ASV_199700,ASV_196414,-0.96701433
ASV_138823,ASV_196414,-0.944942679
ASV_113716,ASV_196414,-0.921308895
ASV_80122,ASV_195213,-0.768898465
ASV_51728,ASV_195213,-0.576441408
