,RM1,RM2,RM3,RM4,RM5,RM6,RM7
ASV_14544,0.000541695,0,0.000732881,0,0.000828474,0.000414237,0
ASV_174732,0.000414237,0,0.001083389,0.000414237,0.000637288,0.000541695,0.000764745
ASV_209932,0.001083389,0.000414237,0.000924067,0.000701016,0.000637288,0.000987796,0.000892203
ASV_76061,0.000541695,0,0,0,0.00181627,0.000637288,0.000669152
ASV_180438,0.000446101,0.000828474,0.000828474,0.000860338,0.00130644,0.000764745,0.00079661
ASV_53612,0.00050983,0.000286779,0.000605423,0.000286779,0.000732881,0.000382373,0.00050983
ASV_32596,0.000637288,0.000159322,0.000828474,0.00130644,0.001178982,0.000446101,0.00079661
ASV_117829,0.000573559,0.002453558,0.000446101,0.000286779,0.000382373,0.000477966,0.00101966
ASV_27295,9.56E-05,6.37E-05,0,0,0,0,0
ASV_185670,0.001147118,0.00079661,0.000860338,0.000764745,0.001274575,0.00101966,0.000828474
ASV_145898,0.00050983,0.000477966,0.00079661,0.000605423,0.00079661,0.000477966,0.000223051
ASV_153339,0.000955932,0.000159322,0.00079661,0.000382373,0.003058981,0.000669152,0.000701016
ASV_133040,0.000669152,0.000924067,0.001083389,0,0,0.000669152,0
ASV_42096,0.000477966,0.000446101,0.000223051,0.000605423,0.000286779,0.000350508,0.000350508
ASV_157871,0.000446101,0,0.000892203,0.001625084,0.000127458,0,0.00101966
ASV_129568,0.000605423,0.000955932,0.000573559,0.000541695,0.000573559,0.000446101,0.00079661
ASV_224411,0.000987796,0,0.000732881,0.000446101,0.000541695,0.000605423,0.000637288
ASV_224222,0,0.000350508,0.000541695,0.000191186,0.000764745,0.000701016,0.000573559
ASV_192395,0.000350508,0.001242711,0.000605423,0.000414237,0,0.000732881,0.000828474
ASV_205669,0.000764745,0,0.000605423,0.000955932,0.000764745,0.000382373,0.000924067
ASV_214026,0.00050983,0.000254915,0.00101966,0.000286779,0.000286779,0.000477966,0.000541695
ASV_172280,0.000414237,0.000414237,0.000318644,0.001115253,0.000382373,0.000828474,0.000191186
ASV_79063,0,0.000414237,0,0.000318644,0.000446101,0.000892203,0.000732881
ASV_168515,0.000701016,0.000446101,0.000669152,0.000732881,0.00050983,0.000732881,0.000860338
ASV_31632,0.000318644,0.000637288,0.000318644,0.000637288,0.000701016,0.000605423,0.000382373
ASV_141802,0.000669152,0,0.000382373,0.000605423,0.000860338,0.00050983,0.000637288
ASV_223563,0.000573559,0.000860338,0.000541695,0.001242711,0.001083389,0.000860338,0.001083389
ASV_32932,0.000637288,0.000477966,0.00050983,0.00101966,0.000637288,0.000701016,0.00079661
ASV_148312,0.000573559,0.000127458,0.000924067,0.000477966,0.000541695,0.000414237,0.000732881
ASV_120,0.000669152,0.000446101,0.000573559,0.000701016,0.000350508,0.000669152,0.000828474
ASV_209917,0.00079661,0.00152949,0,0.00152949,0.000860338,0.00079661,0.000828474
ASV_5564,0.001242711,0.000669152,0.000924067,0.000828474,0.000828474,0.000955932,0.000732881
ASV_164144,0.001115253,0.002262371,0.000764745,0.000637288,0,0.000573559,0
ASV_187700,0.000860338,0.000318644,0.000318644,0.000223051,0.000286779,0.000605423,0.000318644
ASV_127515,0.000477966,0.000955932,0.000637288,0.000573559,0.000414237,0.000382373,0.000382373
ASV_127256,0,0,0,0.001051525,0,0,0
ASV_195938,0,0.000732881,0.000669152,0.000732881,0,0,0
ASV_206331,0.000701016,3.19E-05,0.000286779,0.000191186,0.000477966,0.000350508,0.000605423
ASV_162488,0,0.009782366,0.001210847,0.000318644,0,0.001083389,0
ASV_75478,0.000669152,0.000223051,0.000350508,0.000127458,0.000701016,0.000254915,0.000350508
ASV_84421,0.000637288,0.000350508,0.000477966,0.000318644,0.000477966,0.000541695,0.000669152
ASV_252332,0.000414237,0.000191186,0.00079661,0.000605423,0.000541695,0.00050983,0.000382373
ASV_125228,0.000605423,0.000637288,0.000541695,0.000382373,0.000477966,0.000892203,0.000764745
ASV_89507,0.000541695,0,0.00079661,0.000350508,0.00050983,0.00101966,0.000477966
ASV_33050,0.000477966,0.000541695,0.000732881,0.000637288,0.00050983,0.000669152,0.00079661
ASV_127491,0.000446101,0.000254915,0.000764745,0.00079661,0.000732881,0.000860338,0.000573559
ASV_47401,0.000828474,0,0,0.000637288,0.000637288,0.00050983,0.000446101
